bill/PayerAccountId,lineItem/UsageAccountId,lineItem/ResourceId,lineItem/ProductCode,lineItem/UsageType,lineItem/LineItemType,product/region,lineItem/UnblendedCost,lineItem/CurrencyCode
111122223333,444455556666,i-0a1b2c3d4e5f,AmazonEC2,BoxUsage:m5.large,Usage,us-east-1,289.44,USD
111122223333,444455556666,vol-0aa11bb22cc33,AmazonEC2,EBS:VolumeUsage.gp3,Usage,us-east-1,146.80,USD
111122223333,444455556666,vol-0aa11bb22cc33,AmazonEC2,EBS:VolumeUsage.gp3,Usage,us-east-1,146.80,USD
111122223333,444455556666,vol-0ff99ee88dd77,AmazonEC2,EBS:VolumeUsage.io2,Usage,us-west-2,318.25,USD
111122223333,444455556666,eipalloc-0abc123def,AmazonEC2,ElasticIP:IdleAddress,Usage,us-east-1,54.75,USD
111122223333,444455556666,eipalloc-0999888777,AmazonEC2,ElasticIP:IdleAddress,Usage,eu-west-1,54.75,USD
111122223333,UNTAGGED,arn:aws:s3:::legacy-archive-bucket,AmazonS3,TimedStorage-ByteHrs,Usage,us-east-1,412.30,USD
111122223333,444455556666,db-prod-cluster,AmazonRDS,InstanceUsage:db.r6g.xlarge,Usage,us-east-1,904.10,USD
111122223333,444455556666,,AmazonEC2,EBS:VolumeUsage.gp3,Credit,us-east-1,-85.00,USD
111122223333,444455556666,,AWSSupportBusiness,Support,Fee,us-east-1,320.00,USD
111122223333,444455556666,,AmazonEC2,HeavyUsage:m5.large,RIFee,us-east-1,210.00,USD
111122223333,444455556666,,Tax,Tax,Tax,us-east-1,187.45,USD
111122223333,444455556666,,AmazonEC2,EBS:VolumeUsage.io2,Refund,us-west-2,-40.00,USD
